Sample_Name	mean_meth	median_meth	sd_meth	mean_cov	median_cov	sd_cov
hg38.TWGBS.5N.BioMedX	0.710352911771356	0.818181818181818	0.320670501693543	7.93785303534572	7	11.0248447573048
hg38.TWGBS.5N.DKFZ.B060	0.696761716783379	0.8	0.308946497404023	9.69542794649516	9	13.0788738038874
hg38.TWGBS.5N.IHEC	0.728140332744705	0.833333333333333	0.307787835565737	10.062816366025	10	8.44616429937215
hg38.TWGBS.5N.OTP	0.692910478641369	0.8	0.313499076371502	8.94091549447276	8	24.5265642101041
hg38.TWGBS.5N.UCSD	0.730833847575059	0.833333333333333	0.314747739198625	7.42887268331827	7	3.91931821359444
hg38.TWGBS.5N.UdS.NT	0.680870929143226	0.777777777777778	0.314385476841173	8.48365832629916	8	4.94438125602136
hg38.TWGBS.5N.UdS.TT	0.71109655479949	0.833333333333333	0.324206156235515	7.72065894952291	7	4.63115015457313
hg38.TWGBS.5N.bismark	0.738865172475576	0.857142857142857	0.308081007134181	9.27205471555652	9	21.4957340592374
hg38.TWGBS.5N.bistro	0.718429583136269	0.833333333333333	0.316926726078903	8.67014723255921	8	21.8764829973477
hg38.TWGBS.5T.BioMedX	0.688388522533179	0.8	0.328484844167012	9.48956336323534	9	12.7589079079603
hg38.TWGBS.5T.DKFZ.B060	0.676303430476346	0.785714285714286	0.315459536613608	11.7254067654551	11	14.9780457217082
hg38.TWGBS.5T.IHEC	0.707645043129213	0.833333333333333	0.314892759776216	12.2639110981099	12	9.75659361126659
hg38.TWGBS.5T.OTP	0.671180188700428	0.777777777777778	0.320322131678193	10.6796440873893	10	26.4887013814363
hg38.TWGBS.5T.UCSD	0.710167259808627	0.833333333333333	0.320822153909982	8.74537432765767	8	4.44971227985755
hg38.TWGBS.5T.UdS.NT	0.663564799416982	0.761904761904762	0.315113152597448	10.5130093708619	10	5.82290747852318
hg38.TWGBS.5T.UdS.TT	0.69284546305492	0.818181818181818	0.327043966258339	9.57301318038969	9	5.44319192591228
hg38.TWGBS.5T.bismark	0.718063605450032	0.846153846153846	0.315184054479429	11.3114005380449	11	24.8344730909817
hg38.TWGBS.5T.bistro	0.695981954287761	0.818181818181818	0.324839106077215	10.4701096823651	10	23.4242525253719
hg38.TWGBS.6N.BioMedX	0.682161758479558	0.777777777777778	0.320513693396145	8.37094572634739	8	13.149991977169
hg38.TWGBS.6N.DKFZ.B060	0.67109857929142	0.75	0.30747939228576	10.3274294583609	10	15.3311178833388
hg38.TWGBS.6N.IHEC	0.705693726548232	0.8	0.305923183294856	10.8865580055706	10	9.41328720799486
hg38.TWGBS.6N.OTP	0.666149038524241	0.75	0.312669064672096	9.42783513244223	9	25.3861627994946
hg38.TWGBS.6N.UCSD	0.707990586957187	0.8	0.313637976834397	7.96434231129608	8	4.07164159324207
hg38.TWGBS.6N.UdS.NT	0.654541536905639	0.75	0.312595965893363	8.98879506641218	9	5.05625082410808
hg38.TWGBS.6N.UdS.TT	0.68242704814665	0.777777777777778	0.323847563863994	8.17013620669383	8	4.74241777719923
hg38.TWGBS.6N.bismark	0.716064686198593	0.818181818181818	0.306877333286795	10.0270887509401	9	21.7262154356339
hg38.TWGBS.6N.bistro	0.691857670802518	0.8	0.316496310230792	9.16537979910856	8	21.9309680734612
hg38.TWGBS.6T.BioMedX	0.64805878148588	0.75	0.330700725843835	8.05517549573938	7	12.4299141470642
hg38.TWGBS.6T.DKFZ.B060	0.639129964085267	0.714285714285714	0.314988714266361	10.048083282627	9	14.5085145296068
hg38.TWGBS.6T.IHEC	0.681912958209437	0.777777777777778	0.312207777524789	10.7080374323491	10	9.06062219799761
hg38.TWGBS.6T.OTP	0.632569558995669	0.714285714285714	0.321313486868296	9.09439029969282	8	25.1629013706055
hg38.TWGBS.6T.UCSD	0.68467694635489	0.78125	0.320998076012461	7.79470996874229	8	4.02856429725582
hg38.TWGBS.6T.UdS.NT	0.617161880560465	0.68421052631579	0.322669625852334	8.56323043281619	8	4.95771028698561
hg38.TWGBS.6T.UdS.TT	0.644612259991807	0.75	0.336066323245984	7.77008882625393	7	4.62125426645187
hg38.TWGBS.6T.bismark	0.692403175046914	0.8	0.314010600546158	9.83838301637751	9	21.7774072613532
hg38.TWGBS.6T.bistro	0.658561348345447	0.75	0.325473462108933	8.99087251841953	8	22.308348137073
hg38.WGBS.5N.DKFZ.B060	0.725638507879967	0.837209302325582	0.281781481156102	35.0755505321009	35	29.215322443765
hg38.WGBS.5N.DKFZ.C010	0.715704879153302	0.822222222222222	0.275634215384477	39.3303546192043	38	35.720053500148
